total_mass_source chirp_mass_source mass_ratio chi_eff
3.3993 1.4694 0.8067 0.0121
3.2891 1.4296 0.9058 0.0158
3.3036 1.4380 0.9939 0.0123
3.3303 1.4483 0.9257 0.0100
3.3409 1.4517 0.8990 0.0292
3.2867 1.4301 0.9536 0.0210
3.3559 1.4442 0.7589 0.0198
3.3182 1.4378 0.8409 0.0195
3.3267 1.4454 0.8954 0.0034
3.2678 1.4203 0.9062 -0.0001
3.3385 1.4510 0.9059 0.0064
3.3260 1.4300 0.7507 0.0171
3.3005 1.4364 0.9664 0.0075
3.3463 1.4539 0.8958 0.0015
3.3633 1.4609 0.8878 0.0122
3.3080 1.4386 0.9261 0.0158
3.3198 1.4448 0.9682 0.0188
3.2536 1.4153 0.9370 0.0074
3.3386 1.4490 0.8698 0.0044
3.3470 1.4480 0.8174 0.0129
3.3744 1.4670 0.9133 0.0050
3.3137 1.4423 0.9909 0.0068
3.3273 1.4376 0.8002 0.0126
3.3231 1.4462 0.9690 0.0037
3.2792 1.4273 0.9974 0.0165
3.3366 1.4523 0.9912 0.0023
3.2849 1.4287 0.9297 0.0036
3.3404 1.4497 0.8689 0.0160
3.2800 1.4175 0.8032 0.0115
3.3544 1.4581 0.9090 0.0118
3.3042 1.4379 0.9610 -0.0184
3.2618 1.4196 0.9761 -0.0015
3.2867 1.4295 0.9290 0.0130
3.2509 1.4100 0.8580 -0.0021
3.3410 1.4482 0.8464 0.0114
3.3456 1.4520 0.8699 0.0184
3.3262 1.4407 0.8348 -0.0055
3.3160 1.4430 0.9580 0.0224
3.2657 1.4191 0.9003 0.0056
3.3398 1.4490 0.8625 0.0159
3.2970 1.4326 0.8977 0.0345
3.2697 1.4148 0.8194 0.0071
3.3976 1.4740 0.8618 0.0034
3.3281 1.4375 0.7965 0.0135
3.3169 1.4437 0.9868 0.0086
3.3037 1.4372 0.9389 0.0153
3.2976 1.4334 0.9080 0.0141
3.3445 1.4393 0.7592 0.0157
3.2783 1.4241 0.8903 0.0129
3.2821 1.4177 0.7974 0.0029
3.3215 1.4383 0.8308 0.0068
3.3646 1.4382 0.7056 0.0187
3.3041 1.4371 0.9324 0.0066
3.2971 1.4277 0.8306 0.0284
3.3387 1.4445 0.8186 0.0037
3.2752 1.4200 0.8497 0.0186
3.3726 1.4677 0.9629 0.0088
3.3175 1.4440 0.9957 -0.0007
3.3475 1.4520 0.8592 0.0068
3.3605 1.4511 0.7940 0.0139
3.3368 1.4300 0.7240 0.0199
3.3477 1.4352 0.7269 0.0200
3.3314 1.4366 0.7790 0.0217
3.2972 1.4207 0.7704 0.0221
3.2344 1.4075 0.9583 -0.0010
3.3173 1.4439 0.9891 -0.0030
3.3296 1.4488 0.9518 0.0320
3.2877 1.4308 0.9660 0.0069
3.3006 1.4367 0.9978 0.0003
3.2699 1.4220 0.9243 0.0072
3.2695 1.4207 0.8983 0.0096
3.3312 1.4492 0.9425 0.0049
3.3483 1.4574 0.9804 0.0006
3.2960 1.4316 0.8872 0.0251
3.2786 1.4202 0.8351 0.0280
3.2677 1.4163 0.8445 0.0063
3.3423 1.4547 0.9786 0.0204
3.3618 1.4580 0.8560 0.0151
3.3462 1.4564 0.9796 0.0123
3.3175 1.4434 0.9486 0.0027
3.3359 1.4450 0.8355 0.0128
3.3123 1.4364 0.8546 -0.0008
3.3166 1.4370 0.8394 0.0121
3.3354 1.4431 0.8177 0.0181
3.2624 1.4197 0.9596 0.0063
3.2613 1.4196 0.9985 0.0084
3.3136 1.4422 0.9738 0.0029
3.3307 1.4383 0.7938 0.0102
3.3031 1.4305 0.8315 -0.0009
3.3027 1.4294 0.8223 0.0216
3.3225 1.4406 0.8508 0.0101
3.3333 1.4504 0.9524 0.0083
3.3524 1.4579 0.9254 0.0169
3.2864 1.4290 0.9195 -0.0022
3.2981 1.4341 0.9197 0.0174
3.3198 1.4448 0.9683 -0.0011
3.3229 1.4336 0.7844 0.0124
3.3421 1.4547 0.9930 0.0148
3.3079 1.4349 0.8601 0.0198
3.2989 1.4358 0.9783 -0.0013
3.3460 1.4509 0.8532 0.0108
3.3396 1.4368 0.7561 0.0148
3.3068 1.4314 0.8249 0.0173
3.3223 1.4447 0.9228 0.0168
3.2738 1.4244 0.9478 -0.0049
3.3293 1.4476 0.9182 0.0102
3.3221 1.4377 0.8214 0.0211
3.3448 1.4547 0.9289 0.0104
3.3088 1.4402 0.9837 0.0081
3.3595 1.4622 0.9780 0.0185
3.3148 1.4405 0.9013 0.0145
3.3795 1.4542 0.7580 0.0289
3.3331 1.4485 0.9020 0.0150
3.2599 1.4190 0.9965 0.0031
3.2833 1.4197 0.8105 0.0164
3.2832 1.4291 0.9909 0.0174
3.3461 1.4553 0.9280 0.0063
