m1_source m2_source chi_1 cos_tilt_1 chi_2 cos_tilt_2 m_tot_source m_chirp_source q chi_eff lambda_1 lambda_2 ra dec D_L cos_theta_jn
1.6747 1.6479 0.0251 0.4213 0.0249 0.9760 3.3226 1.4462 0.9840 0.0174 234.6123 1253.1947 3.6101 0.9309 127.4346 0.6082
1.7418 1.5803 0.0294 0.3842 0.0049 0.2188 3.3221 1.4440 0.9073 0.0064 928.1251 660.5625 1.4325 0.2669 133.4933 0.8564
1.7311 1.5598 0.0496 0.8688 0.0325 -0.0660 3.2910 1.4301 0.9010 0.0217 230.1228 400.1762 4.4760 0.1514 181.9060 0.8621
1.7476 1.5456 0.0177 0.1447 0.0385 0.8947 3.2932 1.4302 0.8844 0.0175 594.9556 122.9012 3.4814 0.6575 180.7027 -0.9777
1.6480 1.6474 0.0283 0.6162 0.0094 -0.8704 3.2954 1.4344 0.9996 0.0046 369.7011 0.3058 3.7804 0.6093 166.2307 0.8350
1.6750 1.5879 0.0316 -0.1024 0.0463 0.8126 3.2629 1.4197 0.9480 0.0166 133.5205 657.8908 1.1190 -0.5294 217.7581 0.9716
1.7201 1.5921 0.0096 -0.9586 0.0445 0.7947 3.3122 1.4404 0.9256 0.0122 501.2959 45.6502 0.2783 -0.6454 146.1885 -0.9865
1.7201 1.6016 0.0467 0.8880 0.0021 -0.8518 3.3217 1.4447 0.9311 0.0206 2174.5705 434.5681 6.1112 -1.1769 132.2726 0.9649
1.7556 1.5764 0.0469 0.4362 0.0318 0.9317 3.3320 1.4478 0.8979 0.0248 234.0539 534.1482 3.9930 -0.0008 123.1701 -0.6447
1.7061 1.5959 0.0417 0.2797 0.0177 0.5102 3.3020 1.4363 0.9354 0.0104 407.8325 474.7737 4.0508 0.5409 159.5835 0.7043
1.6804 1.5882 0.0370 0.7079 0.0345 0.3433 3.2686 1.4221 0.9452 0.0192 69.7531 1090.9546 3.6723 0.6620 208.9399 -0.9509
1.9176 1.4465 0.0143 0.9339 0.0498 0.8885 3.3641 1.4470 0.7543 0.0266 356.5743 287.9172 0.4333 -1.2880 124.4521 0.7835
1.6973 1.6210 0.0353 0.7258 0.0070 0.8271 3.3184 1.4439 0.9550 0.0159 26.9001 326.8046 1.4305 -0.0049 134.9391 0.6216
1.6557 1.6553 0.0430 0.0708 0.0185 -0.2029 3.3110 1.4412 0.9998 -0.0004 1353.2595 260.3760 3.9767 0.1468 142.4099 -0.7080
1.8541 1.4980 0.0452 0.9287 0.0115 0.8141 3.3521 1.4492 0.8079 0.0274 788.8267 781.4538 0.5793 -0.0975 118.3352 0.4480
1.7321 1.5997 0.0478 0.5848 0.0444 0.2125 3.3318 1.4489 0.9235 0.0190 376.4938 596.0686 4.8137 -0.7051 118.9770 0.8820
1.9960 1.3488 0.0495 0.8794 0.0060 0.8286 3.3448 1.4230 0.6758 0.0280 35.7931 215.5795 1.4457 -0.3313 205.4221 -0.8962
1.6761 1.5986 0.0345 0.0897 0.0188 0.0095 3.2747 1.4249 0.9538 0.0017 83.6222 124.9977 3.8759 0.5461 198.2735 0.8831
1.8500 1.4831 0.0251 0.7884 0.0187 0.8035 3.3331 1.4402 0.8016 0.0177 272.7510 71.7631 1.2226 -0.7579 146.6087 -0.7259
1.7600 1.5849 0.0103 0.7959 0.0468 0.4566 3.3449 1.4536 0.9005 0.0144 401.4791 45.1656 3.3528 0.6310 103.8310 0.5156
1.7180 1.5768 0.0288 0.9522 0.0273 0.9020 3.2948 1.4326 0.9178 0.0261 179.4524 1773.4335 1.5457 -0.1424 173.6999 -0.8108
1.8955 1.4150 0.0464 0.7562 0.0269 0.5353 3.3105 1.4227 0.7465 0.0262 479.8193 144.6463 3.7847 0.6860 206.3571 -0.9524
